category_id,category_name,discount_percent,period_start,period_end,note
100,Томати,10%,01.02,31.03,"Передпосівний період (розсада)"
101,Томати високорослі,10%,01.02,31.03,Теплична розсада
102,Томати середньорослі,10%,01.02,31.03,Універсальні сорти
103,Томати низькорослі,10%,01.02,31.03,Ранні сорти
110,Огірки,10%,15.03,15.05,Активний посів у відкритий ґрунт
120,Капуста,10%,01.02,15.04,Розсада ранніх і середніх сортів
121,Капуста білокачанна,10%,01.02,15.04,Основний попит
122,Капуста цвітна,10%,01.02,15.04,Рання розсада
123,Капуста червонокачанна,10%,01.02,15.04,Середній сезон
124,Різновиди капусти,10%,01.02,15.04,Універсально
130,Редис,10%,01.03,15.05,Ранні посіви (холодостійка культура)
140,Перець,10%,01.02,15.03,Довгий період вегетації (розсада)
141,Перець солодкий,10%,01.02,15.03,Основний попит
142,Перець гіркий,10%,01.02,15.03,Теж через розсаду
150,Баклажани,10%,01.02,15.03,Потребує раннього старту
160,Цибуля,10%,01.03,15.04,Посів/висадка навесні
170,Морква,10%,15.03,15.05,Прямий посів у ґрунт
180,Буряк,10%,15.03,15.05,Стабільний весняний попит
190,Кавуни,10%,01.04,20.05,Теплолюбна культура
200,Дині,10%,01.04,20.05,Аналогічно кавунам
210,Гарбузи,10%,01.04,20.05,Пізній старт
220,Кабачки,10%,01.04,20.05,Швидкий ріст
230,Патисони,10%,01.04,20.05,Разом з гарбузовими
240,Зелені культури,10%,01.03,30.06,Довгий сезон посіву
250,Пряносмакові культури,10%,01.03,30.06,Тривалий попит
270,Бобові культури,10%,01.04,31.05,Теплий ґрунт
280,Квасоля,10%,01.04,31.05,Основний період
281,Квасоля спаржева,10%,01.04,31.05,Теплолюбна
282,Квасоля зернова,10%,01.04,31.05,Аналогічно
290,Кукурудза,10%,15.04,31.05,Після прогріву ґрунту
330,Квіти,10%,01.02,31.05,Широкий сезон
331,Квіти однорічні,10%,01.03,31.05,Основний попит
332,Квіти багаторічні,10%,01.02,30.04,Ранній старт
400,Добрива та захист,10%,01.03,30.06,Супутній попит
401,Гербіциди,10%,01.04,30.06,По мірі росту бур'янів
402,Інсектициди,10%,01.04,30.06,Активність шкідників
403,Фунгіциди,10%,01.04,30.06,Профілактика
405,Біопрепарати,10%,01.03,30.06,Органічний сегмент
406,Прилипачі,10%,01.04,30.06,Разом із ЗЗР
407,Добрива та стимулятори,10%,01.03,30.06,Весь сезон
