id,pid,product_id,top_availability,variant_id,title_ua,title_ru,original_price,sale_price,currency,stock_qty,value,unit,type,values_json,availability
1,1,p100001,,P100001-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
2,1,p100001,,P100001-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
3,1,p100001,,P100001-M,Середній пакет,Средний  пакет,15.0,8.0,UAH,100,20.0,pcs,quantity,,
4,2,p100002,,P100002-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
5,2,p100002,,P100002-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
6,3,p100003,,P100003-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
7,3,p100003,,P100003-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
8,4,p100004,,P100004-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
9,4,p100004,,P100004-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
10,4,p100004,,P100004-M,Середній пакет,Средний  пакет,15.0,8.0,UAH,100,20.0,pcs,quantity,,
11,5,p100005,,P100005-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
12,5,p100005,,P100005-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
13,6,p100006,,P100006-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
14,6,p100006,,P100006-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
15,7,p100007,,P100007-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
16,7,p100007,,P100007-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
17,7,p100007,,P100007-M,Середній пакет,Средний  пакет,15.0,8.0,UAH,100,20.0,pcs,quantity,,
18,8,p100008,,P100008-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
19,8,p100008,,P100008-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
20,9,p100009,,P100009-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
21,9,p100009,,P100009-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
22,10,p100010,,P100010-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
23,10,p100010,,P100010-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
24,10,p100010,,P100010-M,Середній пакет,Средний  пакет,15.0,8.0,UAH,100,20.0,pcs,quantity,,
25,11,p100011,,P100011-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
26,11,p100011,,P100011-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
27,12,p100012,,P100012-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
28,12,p100012,,P100012-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
29,13,p100013,,P100013-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
30,13,p100013,,P100013-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
31,13,p100013,,P100013-M,Середній пакет,Средний  пакет,15.0,8.0,UAH,100,20.0,pcs,quantity,,
32,14,p100014,,P100014-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
33,14,p100014,,P100014-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
34,15,p100015,,P100015-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
35,15,p100015,,P100015-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
36,16,p100016,,P100016-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
37,16,p100016,,P100016-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
38,16,p100016,,P100016-M,Середній пакет,Средний  пакет,15.0,8.0,UAH,100,20.0,pcs,quantity,,
39,17,p100017,,P100017-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
40,17,p100017,,P100017-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
41,18,p100018,,P100018-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
42,18,p100018,,P100018-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
43,19,p100019,,P100019-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
44,19,p100019,,P100019-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
45,19,p100019,,P100019-M,Середній пакет,Средний  пакет,15.0,8.0,UAH,100,20.0,pcs,quantity,,
46,20,p100020,,P100020-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
47,20,p100020,,P100020-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
48,21,p100021,,P100021-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
49,21,p100021,,P100021-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
50,22,p100022,,P100022-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
51,22,p100022,,P100022-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
52,22,p100022,,P100022-M,Середній пакет,Средний  пакет,15.0,8.0,UAH,100,20.0,pcs,quantity,,
53,23,p100023,,P100023-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
54,23,p100023,,P100023-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
55,24,p100024,,P100024-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
56,24,p100024,,P100024-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
57,25,p100025,,P100025-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
58,25,p100025,,P100025-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
59,25,p100025,,P100025-M,Середній пакет,Средний  пакет,15.0,8.0,UAH,100,20.0,pcs,quantity,,
60,26,p100026,,P100026-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
61,26,p100026,,P100026-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
62,27,p100027,,P100027-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
63,27,p100027,,P100027-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
