id,name,primary_image,category_id,subcategory_id,product_id,availability,price (цена),weight (вес),weight_class,year,created_at,updated_at,seo,secondary_images,tags,description,name_ru,description_ru
1,Амурський тигр,p100001.jpg,100,101,p1001,100,10,3,гр,2026,9/15/2025,11/30/2025,amurskyi-tyhr,"p100001_1.jpg,p100001_2.jpg","tall,red,yellow,firm,disease_resistant,thin_skin","Високий кущ з щільними червоними плодами з довгими жовтими смужками, тонкою шкіркою з послідовним дозріванням. Стійкий до хвороб.",Амурский тигр,"Высокорослый куст с плотными плодами красного цвета с продолговатыми желтыми полосками, тонкокожие с последовательным созреванием. Устойчив к болезням."
2,Апельсин,p100002.jpg,100,102,p1002,50,10,1,гр,2026,9/16/2025,12/1/2025,apelsyn,,"yellow,round","Рослина висотою до 2 метрів, плоди великі жовті, округлої форми, міцні, добре дозрівають, масою до 300 г, сорт для алергіків.",Аппельсин,"Растение высотой до 2-х метров, плоды крупные желтые округлой формы, крепкие, дозревают хорошо в собранном виде, массой до 300гр, сорт для аллергиков."
3,Банан оранжевий,p100003.jpg,100,102,p1003,20,15,1,гр,2026,9/17/2025,12/2/2025,banan-oranzhevyi,,"early,tall,orange,elongated,sweet,meaty,disease_resistant,high_yield","Ранній урожайний сорт, високорослий з мясистими плодами оранжевого кольору, плоди подовжені з солодким смаком, стійкий до хворіб.",Банан оранжевой,"Ранний урожайный сорт, высокорослый с мясистыми плодами оранжевого цвета, плоды продолговатые со сладким вкусом, устойчив к болезням."
4,Бичий лоб,p100004.jpg,100,101,p1004,20,15,1,гр,2026,9/18/2025,12/3/2025,bychyi-lob,,"mid_maturing,determinate,indeterminate,salad,round,open_field","Середньо-стиглий сорт сибірської селекції індетермінантного типу для відкритого грунту плід округло-ребристий масою до 600гр, салатного типу.",Бычий лоб,"Среднеспелый сорт сибирской селекции индетерминантного типа для открытого грунта, плод округло-ребристый массой до 600гр, салатного типа."
5,Бояриня,p100005.jpg,100,101,p1005,20,15,5,шт,2026,9/19/2025,12/4/2025,boiarynia,,"mid_maturing,tall,fresh,red,round","Один з нових сортів, високорослий, середньо-стиглий сорт плоди червоні округлі, придатний для переробки і вживання в свіжому вигляді дуже смачний",Бояриня,"Один из новых сортов, высокорослый, среднеспелый сорт, плоды красные округлые, пригоден для переработки и употребления в свежем виде"
6,Ведмежа лапа,p100006.jpg,100,101,p1006,20,18,45,шт,2026,9/20/2025,12/5/2025,vedmezha-lapa,,"mid_late,late,determinate,indeterminate,pink,drought_tolerant","Оригінальний посухостійкий, середньопізній сорт, вегетація 110-115 днів. Невизначена рослина 1, 5-2, 00м, плоди рожеві 400-1200 грам ваги.",Медвежья лапа,"Оригинальный засухоустойчивый, среднепоздний сорт, вегетация 110-115 дней. Растение индетерминантное 1, 5-2.00м, розовые плоды 400-1200 грамм массой."
7,Волове серце жовте,p100007.jpg,100,101,p1007,20,15,1,гр,2026,9/21/2025,12/6/2025,volove-sertse-zhovte,,"late,salad,yellow,meaty,open_field,needs_trellis,few_seeds","Пізньо-стиглий сорт народної селекції, потребує підвязки, для відкритого грунту, плоди великі мясисті, малонасінневі, жовті, салатні, смачні.",Воловое серде желтое,"Позднеспелый сорт народной селекции, требует подвязки, для открытого грунта, плоды крупные мясистые, малосемянные, желтые, салатные, вкусные."
8,Волове серце оранжеве,p100008.jpg,100,101,p1008,20,15,1,гр,2026,9/22/2025,12/7/2025,volove-sertse-oranzheve,,"late,salad,orange,meaty,open_field,needs_trellis,few_seeds","Пізньо-стиглий сорт народної селекції, потребує  підвязки, для відкритого грунту. Плоди великі, мясисті, малонасінневі, оранжеві, салатні, смачні першого забору досягають 400- 600гр",Воловое сердце оранжевое,"Позднеспелый сорт народной селекции, требует подвязки, для открытого грунта, плоды крупные, мясистые, малосемянные, оранжевые, салатные, вкусные, достигают веса 400 - 600 гр"
9,Волове серце рожеве,p100009.jpg,100,101,p1009,20,15,1,гр,2026,9/23/2025,12/8/2025,volove-sertse-rozheve,,"late,salad,pink,meaty,open_field,needs_trellis,few_seeds","Пізньостиглий сорт народної селекції, вимагає підв 'язки, для відкритого грунту плоди великі, м' ясисті, малонасінні, рожеві, салатні, смачні",Воловое сердце розовое,"Позднеспелый сорт народной селекции, требует подвязки, для открытого грунта, плоды крупные, мясистые, малосемянные, розовые, салатные, вкусные"
10,Волове серце рожево-малиновий,p100010.jpg,100,101,p10010,,15,1,гр,2026,9/24/2025,12/9/2025,volove-sertse-rozhevo-malynovyi,p100010_1.jpg,"late,salad,pink,raspberry,meaty,open_field,needs_trellis,few_seeds","Пізньо-стиглий сорт народної селекції, потребує підвязки, для відкритого грунту, плоди великі, мясисті, малонасінневі, малинові, салатні, смачні.",Воловое сердце малиновое,"Позднеспелый сорт народной селекции, требует подвязки, для открытого грунта, плоды крупные, мясистые, малосемянные, малиновые, салатные, вкусные."
11,Волове серце червоний,p100011.jpg,100,101,p10011,0,15,1,гр,2026,9/25/2025,12/10/2025,volove-sertse-chervonyi,,"mid_maturing,salad,red,meaty,open_field,needs_trellis,few_seeds","Середньостиглий сорт народної селекції, вимагає підв 'язки, для відкритого грунту плоди великі, м' ясисті, малонасінні, червоні, салатні, смачні.",Воловое сердце красное,"Среднеспелый сорт народной селекции, требует подвязки, для открытого грунта, плоды крупные, мясистые, малосемянные, красные, салатные, вкусные."
12,Гігант лимонний,p100012.jpg,100,101,p10012,20,15,1,гр,2026,9/26/2025,12/11/2025,hihant-lymonnyi,,"mid_maturing,yellow,round,meaty,cold_tolerant,shade_tolerant,open_field,needs_trellis,few_seeds","Середньостигдий сорт морозостійкий, тіньовиносливий, потребує підвязки, для відкритого грунту, плоди великі, мясисті, малонасінневі, округлі, жовті до 800гр маса.",Гигант лимонный,"Среднеспелый сорт, зимостойкий, теневиносливый,  требует подвязки, для открытого грунта, плоды крупные, мясистые, малосемянные, округлые, желтые до 800гр масса."
