id,name_uk,parent_id,tag,description_uk,primary_image,seo
100,Томати,,tomato,Томати відносяться до роду пасльонових. Рослина рясніє великою кількістю сортів. Поширений овоч по всьому світу.,catalog/categories/c100.jpg,tomati
101,Томати високорослі,100,tomato-small,"Відмітна риса високорослих томатів, висота стебла іноді досягає 2,50 м, цим обумовлюється велика віддача врожаю. Іноді з куща можна зняти до 8 кг плодів.",catalog/categories/c101.jpg,tomati-visokorosli
102,Томати середньорослі,100,tomato-mid,"Середньорослі томати зібрали в собі найкращі якості високорослих і низькорослих сортів, зазвичай вирощуються в два стебла.",catalog/categories/c102.jpg,tomati-serednorosli
103,Томати низькорослі,100,tomato-large,"Низькорослі сорти томатів відрізняються швидкою віддачею, формуючи невелику кількість кистей, дружним дозріванням.",catalog/categories/c103.jpg,tomati-nizkorosli
110,Огірки,,cucumber,"Найпопулярнійшої овочевий продукт, який можна випращівать цілий рік. Невибагливий, а так же незамінний в салатах.",catalog/categories/c110.jpg,ogirki
120,Капуста ,,cabbage,"Капуста - цариця серед овочів, дуже популярний продукт. Займає одне з перших місць в світі по вирощуванню.",catalog/categories/c120.jpg,kapusta
121,Капуста білокачанна,120,cabbage-white,Різновид сімейства хрестоцвітних. Налічує близько 400 сортів різних термінів дозрівання.,catalog/categories/c121.jpg,kapusta-bilokachanna
122,Капуста цвітна,120,cabbage-color,"Цвітна капуста має однорічний цикл розвитку, різноманіття сортів дивує своєю незвичністю. Має високі смакові якості.",catalog/categories/c122.jpg,kapusta-tsvitna
123,Капуста червонокачанна,120,cabbage-red,"Це вид капусти містить велику кількість макро і мікро елементів, стійкий до захворювань, добре зберігається і дуже смачний в салатах.",catalog/categories/c123.jpg,kapusta-chervonokachanna
124,Різновиди капусти,120,cabbage-other,"Різновидів існує багато і всі вони разюче відрізняються один від одного, але об'єднує їх одне - всі вони капуста.",,riznovidi-kapusti
130,Редис,,radish,"Редис характерний ранніми термінами дозрівання, саме з нього роблять перші салати після зими.",catalog/categories/c130.jpg,redis
140,Перець ,,pepper,"Будь-яка кухня світу використовує перець, як необхідний компонент перших і других страв. Високий вміст вітаміну С, а так само інших корисних мікроелементів робить його незамінним.",catalog/categories/c140.jpg,perets
141,Перець солодкий,140,pepper-sweet,Солодкі перці мають дуже привабливий вигляд. М'ясисті і смачні.,catalog/categories/c141.jpg,perets-solodkii
142,Перець гіркий,140,pepper-hot,Культурних сортів гострого перцю близько 3000. Добре зберігається в сушеному вигляді.,catalog/categories/c142.jpg,perets-girkii
150,Баклажани,,eggplant,Ця рослина ставитися до роду пасльонових і вирощується як однорічник. У їжу вживають злегка недозрілі плоди так вони смачніші.,catalog/categories/c150.jpg,baklazhani
160,Цибуля,,onion,"Різноманітність сортів луків не припиняє дивувати: однорічні, дворічні і навіть багаторічні. Багаті зеленню обеспечиват вітамінами круглий рік.",catalog/categories/c160.jpg,tsibulia
170,Морква,,carrot,"Морква містить масу корисних речовин - це каротин, солі, калію, пектини, вітаміни А, В, С, Д. Широко застосовується в кулінарії, не замінна в дитячому харчуванні.",catalog/categories/c170.jpg,morkva
180,Буряк,,beet,"Буряк має дуже високими смаковими і лікувальними властивостями, збагачена йодом, вітамінами А і В, покращує обмін речовин. У деяких сортів використовують і коренеплоди і надземну частину.",catalog/categories/c180.jpg,buriak
