keyword_ua,search_volume_est,keyword_difficulty_est,intent,target_page_type,priority,implementation_notes
коли садити помідори на розсаду,4500,28,Informational,Blog/Guide Page,P1,Створити/оновити статтю в CMS блогу; meta з SEO-плану; 3+ лінки на категорії (томати розсада добрива)
коли садити перець на розсаду,2800,27,Informational,Blog/Guide Page,P1,Блог; лінки на перець касети горщики добрива для розсади
коли копати часник озимий,2500,29,Informational,Blog/Guide Page,P1,Блог; лінк на насіння/посадковий матеріал часнику якщо є в каталозі
насіння квітів купити,2500,37,Commercial,Category Page,P1,Категорія: заповнити meta title/description/name(H1) в адмінці
насіння помідорів купити,2400,35,Commercial,Category Page,P1,Категорія томатів; товари з alt на зображеннях
календар робіт на городі квітень травень,2100,30,Informational,Blog/Guide Page,P1,Пілонний гайд; багато внутрішніх лінків на насіння та інструменти
насіння огірків купити,2100,36,Commercial,Category Page,P1,Категорія огірків
коли сіяти огірки у відкритий ґрунт,2200,28,Informational,Blog/Guide Page,P1,Блог; канонікал з «коли садити огірки» якщо дубль
посадка картоплі,2200,31,Informational,Blog/Guide Page,P1,Блог; CTA на добрива для картоплі інструмент
шланг поливальний купити,2000,38,Commercial,Category Page,P1,Категорія/підбір товарів полив
як вирощувати розсаду помідорів вдома,2000,30,Informational,Blog/Guide Page,P1,Блог; лінки торф ґрунт касети насіння помідорів
інтернет магазин насіння Україна,2000,40,Commercial,Homepage,P1,Системні налаштування магазину meta АБО дефолти в common/home.php
секатор садовий купити,1900,37,Commercial,Category Page,P1,Категорія інструментів
сорти помідорів для відкритого ґрунту,1900,33,Informational,Blog/Guide Page,P1,Блог; таблиця з лінками на картки насіння
насіння капусти купити,1800,34,Commercial,Category Page,P1,Категорія капусти
як зробити компост на дачі,1800,30,Informational,Blog/Guide Page,P1,Блог; лінки органічні добрива сапа лопата
садовий інвентар купити,1700,38,Commercial,Category Page,P1,Батьківська категорія інструментів
ґрунт для розсади купити,1600,36,Commercial,Category Page,P1,Категорія субстратів
як боротися з фітофторою на помідорах,1600,32,Informational,Blog/Guide Page,P1,Блог; лінки обприскувач стійкі сорти
сорти огірків для засолювання,1600,32,Informational,Blog/Guide Page,P1,Блог; лінк на насіння огірків
коли садити огірки,1200,25,Informational,Blog/Guide Page,P2,Блог; уникнути канібалізації з «коли сіяти у відкритий ґрунт»
добрива для томатів,900,40,Commercial,Category Page,P2,Категорія добрива (томати)
насіння моркви,1500,33,Commercial,Category Page,P2,Категорія моркви
календар посадок городніх культур,800,30,Informational,Blog/Guide Page,P2,Об’єднати з графіком 2026 або canonical один на інший
огірки у теплиці,500,35,Informational,Blog/Guide Page,P2,Один URL з «як виростити огірки у теплиці» або rel=canonical
посадка капусти,700,30,Informational,Blog/Guide Page,P2,Блог; лінк на насіння капусти
як виростити баклажани,600,28,Informational,Blog/Guide Page,P2,Блог; лінк насіння баклажанів добрива
насіння редиски,1000,32,Commercial,Category Page,P2,Категорія; сторінка «редиска» синонім за потреби
насіння перцю солодкого,1100,38,Commercial,Category Page,P2,Категорія перцю
бібліотека садівника поради,400,22,Informational,Blog/Guide Page,P2,Хаб блогу — оновити опис та посилання на кластери
